,Year,Title_English,Episodes,Popularity,Aired,Aired On,Duration,Genres,Tags,Summary,Title_Korean,Also Known As,Content Rating,Score_Votes,Score,Ranked,Watchers
0,2023,High Cookie (2023),20,1638,"Oct 23, 2023 - Nov 23, 2023",,34 min.,"['Thriller', 'Mystery', 'Youth', 'Fantasy']","['Bully Supporting Character', 'Student Supporting Character', 'Student Female Lead', 'Student Male Lead', 'School Setting', 'Protective Female Lead', 'Factory Worker Female Lead', 'Consultant Supporting Character', 'Consultant Male Lead', 'Part-time Worker Female Lead']","A teen fantasy thriller drama that tells the story of people attempting to get out of the quicksand caused by a dangerous and harmful cookie that makes their wishes into reality with just one bite. After losing her parents in an unfortunate accident, Choi Soo Young has to take care of her three years younger sister. When she became 18 years old, she became the breadwinner of her family. She gave up on high school and began working at a factory, taking up several odd part-time jobs to provide for herself and her younger sister. However, one day her sister gets into trouble caused by a homemade cookie, and she risks everything to protect her. Seo Ho Su is a 3rd year student at Junghan High School, the best private school in South Korea. His mother is battling cancer, while his father disappeared a long time ago. Despite his personal problems, he tries to focus only on his studies, but often becomes a victim of his rich classmates, who think of him as a pushover that is at their disposal. Yoo Seong Pil is a mysterious underground college admissions consultant. He uses any means necessary, even illegal, to help his students enter the university they wish for. Although nobody asked him to, he goes to Junghan High School to take a consultant position for the entire 3rd grade class, and he slowly starts to reveal his true intentions after entering said school... (Source: Korean = Namu.Wiki || Translation = MyDramaList)",하이쿠키,"Hai Kuki , Haikuki , Hi Cookie , Привет, печенька , היי קוקי , كعك غريب , 하이 쿠키",18+ Restricted (violence & profanity),2440,7.3,8082,15709
1,2023,Strangers Again (2023),12,1515,"Jan 18, 2023 - Feb 23, 2023","Wednesday, Thursday",1 hr. 10 min.,"['Law', 'Romance', 'Drama']","[""Bickering Mains' Relationship"", 'Ex-spouse Relationship', ""Unhealthy Mains' Relationship"", 'Second Chance Romance', 'Love/Hate Relationship', ""Co-workers' Relationship"", 'Miscommunication', 'Slight Comedy', 'Secondary Couple', 'Flashback To Past']","Divorce lawyer Oh Ha Ra, known as the “goddess of litigation,” unexpectedly reunites with her ex-husband and fellow lawyer, Goo Eun Beom, in court. Forced to work together, old conflicts resurface, creating tension both professionally and personally. Adding to the chaos, their colleagues Kang Bi Chwi and Kwon Si Wook also clash constantly. Will love find its way back, or will the courtroom turn into a battlefield? (Source: MyDramaList)",남이 될 수 있을까?,"Can I Be Someone Else , Can I Be Someone Else? , Can We Be Strangers? , Estranhos Novamente , Nami Doel Su Isseulkka?",15+ - Teens 15 or older,5187,7.2,9766,17025
2,2023,Hello! This Is Starbucks (2023),19,99999,"Jun 20, 2023 - Jul 27, 2023","Tuesday, Wednesday, Thursday",1 min.,['Life'],"['Café Setting', 'Short Length Series', 'Web Series']","This web drama deals with a theme based on the daily life that the new partner protagonist faces after joining the company against the backdrop of a Starbucks actual store. It shows various stories related to relations between the Starbucks crew and customers, such as types of customer orders, cases of call my name, how partners worked, and benefits of using Starbucks cards and loyalty programs. (Source: Korean = Shinsegaegroupnewsroom.com || Translation = MyDramaList)",안녕하세요! 스타벅스입니다,Annyeonghaseyo! Seutabeokseuibnida,Not Yet Rated,5,5.9,99999,105
3,2023,Adult Kids (2023),8,9473,"Jun 19, 2023 - Aug 7, 2023",Monday,10 min.,"['Life', 'Drama']","['Female Centered Plot', 'Short Length Series', 'Miniseries', 'Web Series']",A hyper-realistic drama depicting the daily lives of clumsy women in their 30s in the fashion industry and their joys and sorrows at work. (Source: HanCinema),어른애들,"Crianças Adultas , Eoreunaedeul , The Adult Like , Дорослі діти",Not Yet Rated,181,7.1,10086,1250
4,2023,My Demon (2023),16,40,"Nov 24, 2023 - Jan 20, 2024","Friday, Saturday",1 hr. 6 min.,"['Action', 'Comedy', 'Romance', 'Fantasy']","['Demon Male Lead', 'Supernatural', 'Heiress Female Lead', 'Supernatural Power', 'Sassy Female Lead', 'Contract Relationship', 'Rich Female Lead', 'Age Gap [Real Life]', 'Orphan Female Lead', 'Interspecies Romance']","Do Do Hee is the successor of the Future Group. She doesn’t trust in anyone and is cynical about love. Do Do Hee gets involved with a demon named Jung Gu Won and makes a contract marriage with him. He can live for eternity by making dangerous, but sweet deals with humans who endure hellish lives. But after looking down upon humans for 200 years, he gets involved with Do Do Hee and somehow loses his power. To prevent his own extinction, he must protect Do Do Hee who has taken all of his power. (Source: AsianWiki; edited by MyDramaList)",마이데몬,"Demonul Șarmant , Maidemon , Meu Demônio Favorito , Moj voljeni demon , Okouzlující démon , Мій коханий демон , Мой демон , השד שלי , صفقتي مع الشيطان , ปีศาจของฉัน",15+ - Teens 15 or older,97628,8.3,1177,165957
5,2023,The Matchmakers (2023),16,1091,"Oct 30, 2023 - Dec 25, 2023","Monday, Tuesday",1 hr. 10 min.,"['Historical', 'Comedy', 'Romance']","['Matchmaking', 'Joseon Dynasty', 'Matchmaker Female Lead', 'Widow Female Lead', 'Widower Male Lead', 'Historical Fiction', 'Teamwork', 'Breaking The Fourth Wall', 'Flashback To Past', 'Grumpy Male Lead']","Sim Jung Woo is an intelligent and handsome young man. He was the youngest to place first in the state examination, but he was picked to become the princess' husband. During their wedding ceremony, the princess suddenly died. Sim Jung Woo's life changed and he became the most unfortunate man. According to the Joseon period custom, he is not able to take the government post and he can't remarry. He then becomes involved with Jung Soon Deok. Jung Soon Deok is a widow whose late husband was the second son of the first vice-premier. She secretly leads another life under the pseudonym of Yeo Joo Daek. As Yeo Joo Daek, she works as a matchmaker and also peddler of women's items like cosmetics and accessories. She is the best matchmaker in the capital city of Hanyang. Sim Jung Woo and Jung Soon Deok become involved with each other and they try to get older single men and women to marry as matchmakers. (Source: AsianWiki)",혼례대첩,"Hoonryedaecheop , I Send Myself to You , Marriage Battle , Neoege Nareul Bonaenda , Os Casamenteiros , Sending Me to You , The Battle of Marriage , The Matchmaker , The Wedding Battle , Wedding Contest , Битва за шлюб , زواج بأمر ملكي , 婚禮大捷 , 너에게 나를 보낸다",15+ - Teens 15 or older,7194,7.9,3366,22872
6,2023,D.P. Season 2 (2023),6,464,"Jul 28, 2023",Friday,50 min.,"['Action', 'Military', 'Drama']","['Male Centered Plot', 'Bromance', 'Post-traumatic Stress Disorder (PTSD)', 'Soldier Male Lead', 'Fight For Justice', 'Black Comedy', 'Noir', 'Adapted From A Webtoon', 'Military Violence', 'Graphic Violence']","This unfolding story ensues when military desertion arrest squad members (DP), Jun Ho and Ho Yeol, run across absurdities and unchangeable reality on a regular basis. (Source: Namuwiki; Edited by Krystale Mitaesa at MyDramaList) ~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통).",디피 시즌2,"D.P Dog Day 2º temporada , D.P Gaeui Nal 2 , D.P 개의 날 2 , Day of the Dog 2 , Deserter Pursuit Dog Day 2 , Dezertér – 2. řada , หน่วยล่าทหารหนีทัพ ซีซั่น 2 , 디피 2",15+ - Teens 15 or older,23904,8.7,267,44049
7,2023,Longing for You (2023),14,2113,"Jul 26, 2023 - Sep 7, 2023","Wednesday, Thursday",1 hr. 10 min.,"['Action', 'Thriller', 'Mystery', 'Drama']","['Revenge', 'Hot-Tempered Male Lead', 'Mother-Son Relationship', 'Murder', 'Investigation', 'Crime Against Morality', 'Sexual Violence', 'Emotionally Strong Male Lead', 'Professional Male Lead', ""Childhood Friends' Relationship""]","A detective investigating a serial murder case uncovers a hidden family secret. Jin Sung, a cheerful but hot-tempered detective, is transferred to a special team in Seoul for the case. He teams up with Young Ju, a skilled prosecutor, to find the real killer. However, Jin Sung’s brother, Jin Woo, is arrested as a suspect. (Source: MyDramaList)",오랫동안 당신을 기다렸습니다,"I Have Waited a Long Time for You , I’ve Been Waiting for You for a Long Time , Oraesdongan Dangsineul Kidaryeossseubnida",15+ - Teens 15 or older,3049,7.8,3811,11459
8,2023,Intern (2023),8,99999,"Jun 10, 2023 - Aug 10, 2023",,6 min.,['Drama'],"['Short Length Series', 'Miniseries', 'Web Series']",,인턴,Inteon,Not Yet Rated,0,0.0,99999,9
9,2023,Why R U? (2023),8,1111,"Aug 24, 2023 - Sep 14, 2023",Thursday,30 min.,"['Comedy', 'Romance', 'Youth', 'Drama']","['LGBTQ+', 'MDL Remake', 'Gay Romance', 'Secondary Couple', 'University', 'Miniseries', 'Student Male Lead', ""Classmates' Relationship"", 'Performing Arts', 'Enemies To Lovers']","Jung Lee Won, a university student majoring in acting, has a rivalry with Kim Ji Oh, a directing major. Despite their constant bickering, they often have to work together. Unbeknownst to Jung, his younger sister is writing a web novel where he and Kim Ji Oh are lovers. When he discovers her secret, he vows that if he secretly likes Kim Ji Oh, the novel’s storyline should come true. As they spend more time together, Jung begins to question if his feelings for his enemy are becoming something more. (Source: MyDramaList)",와이알유,"Why R U the Series , Why R U? Korean Remake",Not Yet Rated,11601,7.3,8207,22571
